Day,Group,Period,Class Type,Course Code,Department,Faculty Initials,Room No
Tuesday,Group 1,1,P,CIV2152,CHE,"PS,RL (TH)",CME 012
Tuesday,Group 1,2,P,CIV2152,CHE,"PS,RL (TH)",CME 012
Tuesday,Group 1,3,NA,NA,CHE,NA,CB 202
Tuesday,Group 1,4,BREAK,NA,CHE,NA,NA
Tuesday,Group 1,5,L,CIV2101,CHE,SK,CME 317
Tuesday,Group 1,6,L,CIV2102,CHE,SNM,CME 317
Tuesday,Group 1,7,L,CIV2102,CHE,RL,CME 317
Tuesday,Group 1,8,NA,NA,CHE,NA,NA
Tuesday,Group 2,1,P,CIV2158,CHE,SNM (DR),CME 310
Tuesday,Group 2,2,P,CIV2158,CHE,SNM (DR),CME 310
Tuesday,Group 2,3,NA,NA,CHE,NA,CB 202
Tuesday,Group 2,4,BREAK,NA,CHE,NA,NA
Tuesday,Group 2,5,L,CIV2101,CHE,SK,CME 317
Tuesday,Group 2,6,L,CIV2102,CHE,SNM,CME 317
Tuesday,Group 2,7,L,CIV2102,CHE,RL,CME 317
Tuesday,Group 2,8,NA,NA,CHE,NA,NA
Wednesday,Group 1,1,P,CIV2151,CHE,"TD (UK, BP)",CME B02
Wednesday,Group 1,2,P,CIV2151,CHE,"TD (UK, BP)",CME B02
Wednesday,Group 1,3,L,CIV2103,CHE,RR,CME 317
Wednesday,Group 1,4,L,CIV2103,CHE,RR,CME 317
Wednesday,Group 1,5,BREAK,NA,CHE,NA,NA
Wednesday,Group 1,6,L,CIV2104,CHE,TD,CME 317
Wednesday,Group 1,7,NA,NA,CHE,NA,NA
Wednesday,Group 1,8,NA,NA,CHE,NA,CME 317
Wednesday,Group 2,1,P,CIV2156,CHE,"RR (DR,SDG)",CME 207
Wednesday,Group 2,2,P,CIV2156,CHE,"RR (DR,SDG)",CME 207
Wednesday,Group 2,3,L,CIV2103,CHE,RR,CME 317
Wednesday,Group 2,4,L,CIV2103,CHE,RR,CME 317
Wednesday,Group 2,5,BREAK,NA,CHE,NA,NA
Wednesday,Group 2,6,L,CIV2104,CHE,TD,CME 317
Wednesday,Group 2,7,NA,NA,CHE,NA,NA
Wednesday,Group 2,8,NA,NA,CHE,NA,CME 317
Thursday,Group 1,1,L,CIV2101,CHE,SK,CME 317
Thursday,Group 1,2,L,CIV2104,CHE,RR,CME 317
Thursday,Group 1,3,L,CIV2105,CHE,SNM,CME 310
Thursday,Group 1,4,L,CIV2101,CHE,PS,CME 317
Thursday,Group 1,5,BREAK,NA,CHE,NA,NA
Thursday,Group 1,6,L,EVS2016,CHE,PP,CME 318
Thursday,Group 1,7,L,CIV2103,CHE,RR,CME 317
Thursday,Group 1,8,L,CIV2103,CHE,RR,CME 317
Thursday,Group 2,1,L,CIV2101,CHE,SK,CME 317
Thursday,Group 2,2,L,CIV2104,CHE,RR,CME 317
Thursday,Group 2,3,L,CIV2105,CHE,SNM,CME 310
Thursday,Group 2,4,L,CIV2101,CHE,PS,CME 317
Thursday,Group 2,5,BREAK,NA,CHE,NA,NA
Thursday,Group 2,6,L,EVS2016,CHE,PP,CME 318
Thursday,Group 2,7,L,CIV2103,CHE,RR,CME 317
Thursday,Group 2,8,L,CIV2103,CHE,RR,CME 317
Friday,Group 1,1,L,CIV2103,CHE,RR,CME 317
Friday,Group 1,2,L,CIV2101,CHE,PS,CME 317
Friday,Group 1,3,L,CIV2102,CHE,RL,CME 317
Friday,Group 1,4,BREAK,NA,CHE,NA,NA
Friday,Group 1,5,L,CIV2104,CHE,TD,CME 317
Friday,Group 1,6,L,EVS2016,CHE,SG,CB 613
Friday,Group 1,7,T,CIV2103,CHE,RR,CME 201
Friday,Group 1,8,T,CIV2103,CHE,RR,CME 201
Friday,Group 2,1,L,CIV2103,CHE,RR,CME 317
Friday,Group 2,2,L,CIV2101,CHE,PS,CME 317
Friday,Group 2,3,L,CIV2102,CHE,RL,CME 317
Friday,Group 2,4,BREAK,NA,CHE,NA,NA
Friday,Group 2,5,L,CIV2104,CHE,TD,CME 317
Friday,Group 2,6,L,EVS2016,CHE,SG,CB 613
Friday,Group 2,7,P,CIV2157,CHE,PBC (BP),CME 609
Friday,Group 2,8,P,CIV2157,CHE,PBC (BP),CME 609
Monday,NA,1,L,ECE2002,CSBS,OB,CME505
Monday,NA,2,L,MTH2103,CSBS,SK,CME505
Monday,NA,3,L,CBS2101,CSBS,SBP,CME505
Monday,NA,4,BREAK,NA,CSBS,NA,NA
Monday,Group 1,5,P,CBS2153,CSBS,"DC, MB",CME607
Monday,Group 2,5,P,CBS2151,CSBS,"SBP, SDB",CME605
Monday,Group 1,6,P,CBS2153,CSBS,"DC, MB",CME607
Monday,Group 2,6,P,CBS2151,CSBS,"SBP, SDB",CME605
Monday,NA,7,NA,Library,CSBS,NA,NA
Monday,NA,8,NA,Remedial,CSBS,NA,CME504
Tuesday,NA,1,L,MTH2103,CSBS,SDS,CME504
Tuesday,NA,2,L,ECE2002,CSBS,OB,CME504
Tuesday,NA,3,L,CBS2102,CSBS,JDH,CME504
Tuesday,NA,4,L,CBS2102,CSBS,JDH,CME504
Tuesday,NA,5,BREAK,NA,CSBS,NA,NA
Tuesday,NA,6,L,CBS2103,CSBS,TBA,CME505
Tuesday,NA,7,L,CBS2103,CSBS,TBA,CME505
Wednesday,Group 1,1,P,ECE2052,CSBS,"SSB, DP, AD",ICT403
Wednesday,Group 2,1,P,CBS2155,CSBS,"SNR, SBP, MB, SDB",CME605
Wednesday,Group 1,2,P,ECE2052,CSBS,"SSB, DP, AD",ICT403
Wednesday,Group 2,2,P,CBS2155,CSBS,"SNR, SBP, MB, SDB",CME605
Wednesday,NA,3,L,CBS2101,CSBS,SBP,CME505
Wednesday,NA,4,NA,Industry Interaction/Remedial,CSBS,NA,CME505
Wednesday,NA,5,BREAK,NA,CSBS,NA,NA
Wednesday,NA,6,L,MTH2103,CSBS,SK,CME504
Wednesday,NA,7,P,ECE2052,CSBS,"TC, PM, MOU",ICT403
Wednesday,NA,8,P,ECE2052,CSBS,"TC, PM, MOU",ICT403
Thursday,NA,1,L,CBS2101,CSBS,SBP,CME504
Thursday,NA,2,L,CBS2101,CSBS,SBP,CME504
Thursday,NA,3,L,MTH2103,CSBS,SDS,CME504
Thursday,NA,4,BREAK,NA,CSBS,NA,NA
Thursday,NA,5,L,CBS2102,CSBS,JDH,CME504
Thursday,NA,6,L,EVS2016,CSBS,JS,CME508
Thursday,NA,7,NA,Mentoring,CSBS,NA,CME505
Friday,Group 1,1,P,CBS2155,CSBS,"SNR, BPS, SDB",CME605
Friday,Group 2,1,P,CBS2153,CSBS,"DC, MB",CME607
Friday,Group 1,2,P,CBS2155,CSBS,"SNR, BPS, SDB",CME605
Friday,Group 2,2,P,CBS2153,CSBS,"DC, MB",CME607
Friday,NA,3,L,ECE2002,CSBS,OB,CME505
Friday,NA,4,BREAK,NA,CSBS,NA,NA
Friday,NA,5,L,EVS2016,CSBS,ED,CME508
Friday,Group 1,6,P,CBS2151,CSBS,"SBP, SDB",CME608
Friday,Group 2,6,NA,Library,CSBS,NA,NA
Friday,Group 1,7,P,CBS2151,CSBS,"SBP, SDB",CME608
Friday,Group 2,7,NA,Library,CSBS,NA,NA
